FRQ, I, J, Added Mass, Radiation Damping 
-1.00E+00,1,1,7.40E+03,0.00E+00
-1.00E+00,1,2,-2.70E-01,0.00E+00
-1.00E+00,1,3,6.93E+03,0.00E+00
-1.00E+00,1,4,1.43E+00,0.00E+00
-1.00E+00,1,5,2.23E+06,0.00E+00
-1.00E+00,1,6,-8.55E+00,0.00E+00
-1.00E+00,2,1,-5.51E-03,0.00E+00
-1.00E+00,2,2,9.55E+04,0.00E+00
-1.00E+00,2,3,5.51E-01,0.00E+00
-1.00E+00,2,4,4.97E+04,0.00E+00
-1.00E+00,2,5,1.25E+00,0.00E+00
-1.00E+00,2,6,4.34E+05,0.00E+00
-1.00E+00,3,1,6.75E+03,0.00E+00
-1.00E+00,3,2,-2.89E-01,0.00E+00
-1.00E+00,3,3,4.09E+05,0.00E+00
-1.00E+00,3,4,9.93E+00,0.00E+00
-1.00E+00,3,5,-3.54E+06,0.00E+00
-1.00E+00,3,6,7.98E+01,0.00E+00
-1.00E+00,4,1,-1.02E+00,0.00E+00
-1.00E+00,4,2,4.50E+04,0.00E+00
-1.00E+00,4,3,-6.72E-01,0.00E+00
-1.00E+00,4,4,2.53E+07,0.00E+00
-1.00E+00,4,5,3.01E+02,0.00E+00
-1.00E+00,4,6,1.22E+07,0.00E+00
-1.00E+00,5,1,2.23E+06,0.00E+00
-1.00E+00,5,2,-6.71E+01,0.00E+00
-1.00E+00,5,3,-3.54E+06,0.00E+00
-1.00E+00,5,4,1.39E+03,0.00E+00
-1.00E+00,5,5,1.98E+09,0.00E+00
-1.00E+00,5,6,1.27E+04,0.00E+00
-1.00E+00,6,1,-4.23E+01,0.00E+00
-1.00E+00,6,2,4.32E+05,0.00E+00
-1.00E+00,6,3,-1.61E+01,0.00E+00
-1.00E+00,6,4,1.23E+07,0.00E+00
-1.00E+00,6,5,2.46E+02,0.00E+00
-1.00E+00,6,6,6.50E+08,0.00E+00
0.00E+00,1,1,1.84E+04,0.00E+00
0.00E+00,1,2,6.58E-01,0.00E+00
0.00E+00,1,3,1.16E+04,0.00E+00
0.00E+00,1,4,-6.38E+00,0.00E+00
0.00E+00,1,5,4.77E+06,0.00E+00
0.00E+00,1,6,-3.93E+01,0.00E+00
0.00E+00,2,1,6.63E-01,0.00E+00
0.00E+00,2,2,2.52E+05,0.00E+00
0.00E+00,2,3,1.63E+00,0.00E+00
0.00E+00,2,4,1.87E+05,0.00E+00
0.00E+00,2,5,1.84E+02,0.00E+00
0.00E+00,2,6,2.51E+06,0.00E+00
0.00E+00,3,1,1.15E+04,0.00E+00
0.00E+00,3,2,7.37E-01,0.00E+00
0.00E+00,3,3,7.68E+05,0.00E+00
0.00E+00,3,4,5.51E+00,0.00E+00
0.00E+00,3,5,-1.45E+06,0.00E+00
0.00E+00,3,6,-3.33E+02,0.00E+00
0.00E+00,4,1,-3.59E+00,0.00E+00
0.00E+00,4,2,2.07E+05,0.00E+00
0.00E+00,4,3,1.00E+01,0.00E+00
0.00E+00,4,4,2.69E+07,0.00E+00
0.00E+00,4,5,-8.35E+02,0.00E+00
0.00E+00,4,6,3.24E+07,0.00E+00
0.00E+00,5,1,4.76E+06,0.00E+00
0.00E+00,5,2,1.85E+02,0.00E+00
0.00E+00,5,3,-1.50E+06,0.00E+00
0.00E+00,5,4,-1.61E+03,0.00E+00
0.00E+00,5,5,2.87E+09,0.00E+00
0.00E+00,5,6,-2.42E+04,0.00E+00
0.00E+00,6,1,-2.17E+01,0.00E+00
0.00E+00,6,2,2.51E+06,0.00E+00
0.00E+00,6,3,-1.19E+02,0.00E+00
0.00E+00,6,4,3.25E+07,0.00E+00
0.00E+00,6,5,-1.87E+04,0.00E+00
0.00E+00,6,6,1.39E+09,0.00E+00
3.00E-02,1,1,1.84E+04,3.71E-02
3.00E-02,1,2,6.61E-01,-3.57E-05
3.00E-02,1,3,1.16E+04,-1.44E+01
3.00E-02,1,4,-6.40E+00,5.88E-05
3.00E-02,1,5,4.78E+06,1.04E+01
3.00E-02,1,6,-3.94E+01,1.26E-02
3.00E-02,2,1,6.65E-01,3.63E-07
3.00E-02,2,2,2.53E+05,6.55E-02
3.00E-02,2,3,1.63E+00,-1.93E-04
3.00E-02,2,4,1.87E+05,-3.37E-01
3.00E-02,2,5,1.84E+02,8.57E-05
3.00E-02,2,6,2.52E+06,2.57E-01
3.00E-02,3,1,1.15E+04,-1.38E+01
3.00E-02,3,2,7.73E-01,3.25E-02
3.00E-02,3,3,7.83E+05,1.28E+04
3.00E-02,3,4,5.47E+00,-5.99E-02
3.00E-02,3,5,-1.44E+06,-1.91E+03
3.00E-02,3,6,-3.47E+02,-1.14E+01
3.00E-02,4,1,-3.59E+00,-6.26E-04
3.00E-02,4,2,2.07E+05,-3.72E-02
3.00E-02,4,3,1.08E+01,5.85E-01
3.00E-02,4,4,2.69E+07,5.00E+00
3.00E-02,4,5,-8.35E+02,-8.68E-02
3.00E-02,4,6,3.25E+07,2.11E+00
3.00E-02,5,1,4.78E+06,1.23E+01
3.00E-02,5,2,1.86E+02,-9.84E-03
3.00E-02,5,3,-1.49E+06,-3.99E+03
3.00E-02,5,4,-1.61E+03,1.54E-02
3.00E-02,5,5,2.87E+09,3.83E+03
3.00E-02,5,6,-2.43E+04,3.49E+00
3.00E-02,6,1,-2.16E+01,-2.25E-03
3.00E-02,6,2,2.52E+06,2.90E-01
3.00E-02,6,3,-1.16E+02,2.13E+00
3.00E-02,6,4,3.25E+07,-2.36E+00
3.00E-02,6,5,-1.87E+04,-3.08E-01
3.00E-02,6,6,1.39E+09,5.60E+01
6.00E-02,1,1,1.86E+04,1.43E+00
6.00E-02,1,2,6.69E-01,-1.03E-04
6.00E-02,1,3,1.16E+04,-6.49E+01
6.00E-02,1,4,-6.48E+00,-3.76E-04
6.00E-02,1,5,4.83E+06,5.07E+02
6.00E-02,1,6,-3.98E+01,5.02E-02
6.00E-02,2,1,6.70E-01,8.72E-06
6.00E-02,2,2,2.55E+05,4.03E+00
6.00E-02,2,3,1.64E+00,-2.95E-03
6.00E-02,2,4,1.87E+05,-1.03E+01
6.00E-02,2,5,1.85E+02,1.26E-03
6.00E-02,2,6,2.54E+06,3.55E+01
6.00E-02,3,1,1.15E+04,-6.25E+01
6.00E-02,3,2,8.17E-01,1.26E-01
6.00E-02,3,3,8.05E+05,4.94E+04
6.00E-02,3,4,5.47E+00,-2.36E-01
6.00E-02,3,5,-1.41E+06,-3.64E+03
6.00E-02,3,6,-3.67E+02,-4.42E+01
6.00E-02,4,1,-3.59E+00,-2.78E-03
6.00E-02,4,2,2.08E+05,-5.05E+00
6.00E-02,4,3,1.19E+01,2.29E+00
6.00E-02,4,4,2.69E+07,8.65E+01
6.00E-02,4,5,-8.32E+02,-1.26E-01
6.00E-02,4,6,3.26E+07,-1.30E+01
6.00E-02,5,1,4.83E+06,5.12E+02
6.00E-02,5,2,1.88E+02,-7.08E-03
6.00E-02,5,3,-1.46E+06,-1.16E+04
6.00E-02,5,4,-1.64E+03,-2.00E-01
6.00E-02,5,5,2.89E+09,1.89E+05
6.00E-02,5,6,-2.46E+04,7.34E+00
6.00E-02,6,1,-2.12E+01,-8.15E-03
6.00E-02,6,2,2.54E+06,3.66E+01
6.00E-02,6,3,-1.12E+02,8.48E+00
6.00E-02,6,4,3.27E+07,-8.97E+01
6.00E-02,6,5,-1.87E+04,2.75E-01
6.00E-02,6,6,1.40E+09,1.23E+03
9.00E-02,1,1,1.89E+04,1.52E+01
9.00E-02,1,2,6.84E-01,3.11E-04
9.00E-02,1,3,1.16E+04,-1.67E+02
9.00E-02,1,4,-6.62E+00,-7.26E-03
9.00E-02,1,5,4.93E+06,5.50E+03
9.00E-02,1,6,-4.08E+01,5.83E-02
9.00E-02,2,1,6.78E-01,5.98E-05
9.00E-02,2,2,2.58E+05,4.55E+01
9.00E-02,2,3,1.64E+00,-1.38E-02
9.00E-02,2,4,1.88E+05,-9.10E+01
9.00E-02,2,5,1.87E+02,4.38E-03
9.00E-02,2,6,2.59E+06,4.45E+02
9.00E-02,3,1,1.15E+04,-1.61E+02
9.00E-02,3,2,8.26E-01,2.67E-01
9.00E-02,3,3,8.16E+05,1.04E+05
9.00E-02,3,4,5.60E+00,-5.09E-01
9.00E-02,3,5,-1.35E+06,5.36E+03
9.00E-02,3,6,-3.78E+02,-9.46E+01
9.00E-02,4,1,-3.58E+00,-6.25E-03
9.00E-02,4,2,2.09E+05,-6.11E+01
9.00E-02,4,3,1.26E+01,4.94E+00
9.00E-02,4,4,2.69E+07,4.86E+02
9.00E-02,4,5,-8.26E+02,7.79E-01
9.00E-02,4,6,3.28E+07,-4.37E+02
9.00E-02,5,1,4.93E+06,5.50E+03
9.00E-02,5,2,1.93E+02,2.33E-01
9.00E-02,5,3,-1.40E+06,-1.12E+04
9.00E-02,5,4,-1.68E+03,-2.91E+00
9.00E-02,5,5,2.92E+09,2.03E+06
9.00E-02,5,6,-2.51E+04,-2.47E+01
9.00E-02,6,1,-2.04E+01,1.72E-03
9.00E-02,6,2,2.59E+06,4.56E+02
9.00E-02,6,3,-1.09E+02,1.89E+01
9.00E-02,6,4,3.29E+07,-8.69E+02
9.00E-02,6,5,-1.86E+04,1.20E+01
9.00E-02,6,6,1.40E+09,9.31E+03
1.20E-01,1,1,1.94E+04,8.14E+01
1.20E-01,1,2,7.09E-01,3.28E-03
1.20E-01,1,3,1.17E+04,-3.27E+02
1.20E-01,1,4,-6.85E+00,-4.32E-02
1.20E-01,1,5,5.09E+06,2.94E+04
1.20E-01,1,6,-4.25E+01,-2.15E-01
1.20E-01,2,1,6.90E-01,2.40E-04
1.20E-01,2,2,2.63E+05,2.54E+02
1.20E-01,2,3,1.65E+00,-3.86E-02
1.20E-01,2,4,1.89E+05,-4.47E+02
1.20E-01,2,5,1.89E+02,2.31E-03
1.20E-01,2,6,2.65E+06,2.59E+03
1.20E-01,3,1,1.16E+04,-3.16E+02
1.20E-01,3,2,7.75E-01,4.32E-01
1.20E-01,3,3,8.10E+05,1.68E+05
1.20E-01,3,4,5.95E+00,-8.25E-01
1.20E-01,3,5,-1.27E+06,3.79E+04
1.20E-01,3,6,-3.72E+02,-1.55E+02
1.20E-01,4,1,-3.57E+00,-7.36E-03
1.20E-01,4,2,2.10E+05,-3.37E+02
1.20E-01,4,3,1.25E+01,8.23E+00
1.20E-01,4,4,2.69E+07,1.71E+03
1.20E-01,4,5,-8.15E+02,4.87E+00
1.20E-01,4,6,3.32E+07,-2.83E+03
1.20E-01,5,1,5.08E+06,2.93E+04
1.20E-01,5,2,2.00E+02,1.47E+00
1.20E-01,5,3,-1.31E+06,1.16E+04
1.20E-01,5,4,-1.76E+03,-1.63E+01
1.20E-01,5,5,2.98E+09,1.07E+07
1.20E-01,5,6,-2.59E+04,-2.01E+02
1.20E-01,6,1,-1.91E+01,1.17E-01
1.20E-01,6,2,2.65E+06,2.64E+03
1.20E-01,6,3,-1.09E+02,3.26E+01
1.20E-01,6,4,3.32E+07,-4.39E+03
1.20E-01,6,5,-1.85E+04,7.10E+01
1.20E-01,6,6,1.42E+09,4.59E+04
1.50E-01,1,1,2.01E+04,2.92E+02
1.50E-01,1,2,7.45E-01,1.38E-02
1.50E-01,1,3,1.19E+04,-5.21E+02
1.50E-01,1,4,-7.19E+00,-1.62E-01
1.50E-01,1,5,5.31E+06,1.04E+05
1.50E-01,1,6,-4.52E+01,-1.39E+00
1.50E-01,2,1,7.06E-01,6.93E-04
1.50E-01,2,2,2.70E+05,9.66E+02
1.50E-01,2,3,1.68E+00,-7.99E-02
1.50E-01,2,4,1.89E+05,-1.54E+03
1.50E-01,2,5,1.91E+02,-3.78E-02
1.50E-01,2,6,2.75E+06,1.00E+04
1.50E-01,3,1,1.19E+04,-5.03E+02
1.50E-01,3,2,6.52E-01,5.90E-01
1.50E-01,3,3,7.83E+05,2.32E+05
1.50E-01,3,4,6.59E+00,-1.08E+00
1.50E-01,3,5,-1.17E+06,1.04E+05
1.50E-01,3,6,-3.44E+02,-2.17E+02
1.50E-01,4,1,-3.53E+00,5.56E-03
1.50E-01,4,2,2.12E+05,-1.22E+03
1.50E-01,4,3,1.14E+01,1.18E+01
1.50E-01,4,4,2.69E+07,4.60E+03
1.50E-01,4,5,-7.97E+02,1.67E+01
1.50E-01,4,6,3.36E+07,-1.05E+04
1.50E-01,5,1,5.31E+06,1.04E+05
1.50E-01,5,2,2.10E+02,5.43E+00
1.50E-01,5,3,-1.21E+06,6.90E+04
1.50E-01,5,4,-1.87E+03,-5.91E+01
1.50E-01,5,5,3.06E+09,3.77E+07
1.50E-01,5,6,-2.72E+04,-7.47E+02
1.50E-01,6,1,-1.71E+01,5.81E-01
1.50E-01,6,2,2.75E+06,1.02E+04
1.50E-01,6,3,-1.13E+02,4.85E+01
1.50E-01,6,4,3.37E+07,-1.49E+04
1.50E-01,6,5,-1.82E+04,2.64E+02
1.50E-01,6,6,1.44E+09,1.84E+05
1.80E-01,1,1,2.11E+04,7.97E+02
1.80E-01,1,2,7.94E-01,4.07E-02
1.80E-01,1,3,1.24E+04,-6.82E+02
1.80E-01,1,4,-7.64E+00,-4.52E-01
1.80E-01,1,5,5.61E+06,2.82E+05
1.80E-01,1,6,-4.87E+01,-4.51E+00
1.80E-01,2,1,7.27E-01,1.64E-03
1.80E-01,2,2,2.80E+05,2.87E+03
1.80E-01,2,3,1.74E+00,-1.33E-01
1.80E-01,2,4,1.89E+05,-4.15E+03
1.80E-01,2,5,1.94E+02,-1.82E-01
1.80E-01,2,6,2.88E+06,3.03E+04
1.80E-01,3,1,1.23E+04,-6.58E+02
1.80E-01,3,2,4.58E-01,7.07E-01
1.80E-01,3,3,7.40E+05,2.87E+05
1.80E-01,3,4,7.51E+00,-1.13E+00
1.80E-01,3,5,-1.07E+06,2.08E+05
1.80E-01,3,6,-2.96E+02,-2.72E+02
1.80E-01,4,1,-3.47E+00,5.61E-02
1.80E-01,4,2,2.15E+05,-3.34E+03
1.80E-01,4,3,9.18E+00,1.51E+01
1.80E-01,4,4,2.70E+07,1.02E+04
1.80E-01,4,5,-7.73E+02,4.40E+01
1.80E-01,4,6,3.42E+07,-2.71E+04
1.80E-01,5,1,5.60E+06,2.82E+05
1.80E-01,5,2,2.23E+02,1.49E+01
1.80E-01,5,3,-1.10E+06,1.67E+05
1.80E-01,5,4,-2.01E+03,-1.62E+02
1.80E-01,5,5,3.16E+09,1.01E+08
1.80E-01,5,6,-2.87E+04,-2.01E+03
1.80E-01,6,1,-1.44E+01,1.87E+00
1.80E-01,6,2,2.88E+06,3.09E+04
1.80E-01,6,3,-1.23E+02,6.49E+01
1.80E-01,6,4,3.43E+07,-3.79E+04
1.80E-01,6,5,-1.78E+04,7.52E+02
1.80E-01,6,6,1.47E+09,6.55E+05
2.10E-01,1,1,2.22E+04,1.77E+03
2.10E-01,1,2,8.46E-01,9.46E-02
2.10E-01,1,3,1.30E+04,-7.01E+02
2.10E-01,1,4,-8.10E+00,-1.02E+00
2.10E-01,1,5,5.92E+06,6.21E+05
2.10E-01,1,6,-5.19E+01,-1.07E+01
2.10E-01,2,1,7.55E-01,3.61E-03
2.10E-01,2,2,2.94E+05,7.19E+03
2.10E-01,2,3,1.85E+00,-1.85E-01
2.10E-01,2,4,1.91E+05,-9.33E+03
2.10E-01,2,5,1.99E+02,-4.80E-01
2.10E-01,2,6,3.05E+06,7.72E+04
2.10E-01,3,1,1.29E+04,-6.73E+02
2.10E-01,3,2,2.10E-01,7.50E-01
2.10E-01,3,3,6.84E+05,3.28E+05
2.10E-01,3,4,8.67E+00,-8.00E-01
2.10E-01,3,5,-9.83E+05,3.49E+05
2.10E-01,3,6,-2.32E+02,-3.10E+02
2.10E-01,4,1,-3.41E+00,1.78E-01
2.10E-01,4,2,2.19E+05,-7.53E+03
2.10E-01,4,3,5.99E+00,1.78E+01
2.10E-01,4,4,2.70E+07,1.97E+04
2.10E-01,4,5,-7.47E+02,9.67E+01
2.10E-01,4,6,3.51E+07,-5.00E+04
2.10E-01,5,1,5.92E+06,6.19E+05
2.10E-01,5,2,2.37E+02,3.31E+01
2.10E-01,5,3,-1.00E+06,3.07E+05
2.10E-01,5,4,-2.15E+03,-3.58E+02
2.10E-01,5,5,3.26E+09,2.18E+08
2.10E-01,5,6,-3.02E+04,-4.35E+03
2.10E-01,6,1,-1.11E+01,4.68E+00
2.10E-01,6,2,3.06E+06,7.87E+04
2.10E-01,6,3,-1.39E+02,8.00E+01
2.10E-01,6,4,3.51E+07,-7.35E+04
2.10E-01,6,5,-1.74E+04,1.75E+03
2.10E-01,6,6,1.50E+09,2.14E+06
2.40E-01,1,1,2.31E+04,3.33E+03
2.40E-01,1,2,8.86E-01,1.82E-01
2.40E-01,1,3,1.38E+04,-4.46E+02
2.40E-01,1,4,-8.40E+00,-1.91E+00
2.40E-01,1,5,6.17E+06,1.15E+06
2.40E-01,1,6,-5.25E+01,-2.05E+01
2.40E-01,2,1,7.91E-01,8.19E-03
2.40E-01,2,2,3.10E+05,1.58E+04
2.40E-01,2,3,2.01E+00,-2.12E-01
2.40E-01,2,4,1.95E+05,-1.81E+04
2.40E-01,2,5,2.05E+02,-7.78E-01
2.40E-01,2,6,3.28E+06,1.73E+05
2.40E-01,3,1,1.37E+04,-4.17E+02
2.40E-01,3,2,-5.90E-02,6.91E-01
2.40E-01,3,3,6.23E+05,3.54E+05
2.40E-01,3,4,9.90E+00,5.87E-02
2.40E-01,3,5,-9.19E+05,5.24E+05
2.40E-01,3,6,-1.58E+02,-3.27E+02
2.40E-01,4,1,-3.37E+00,4.04E-01
2.40E-01,4,2,2.26E+05,-1.44E+04
2.40E-01,4,3,2.05E+00,1.97E+01
2.40E-01,4,4,2.71E+07,3.37E+04
2.40E-01,4,5,-7.35E+02,1.83E+02
2.40E-01,4,6,3.62E+07,-5.29E+04
2.40E-01,5,1,6.17E+06,1.15E+06
2.40E-01,5,2,2.44E+02,6.14E+01
2.40E-01,5,3,-9.29E+05,4.85E+05
2.40E-01,5,4,-2.23E+03,-6.64E+02
2.40E-01,5,5,3.34E+09,3.99E+08
2.40E-01,5,6,-3.09E+04,-7.89E+03
2.40E-01,6,1,-7.95E+00,9.71E+00
2.40E-01,6,2,3.28E+06,1.77E+05
2.40E-01,6,3,-1.61E+02,9.18E+01
2.40E-01,6,4,3.62E+07,-9.96E+04
2.40E-01,6,5,-1.73E+04,3.45E+03
2.40E-01,6,6,1.55E+09,6.39E+06
2.70E-01,1,1,2.35E+04,5.40E+03
2.70E-01,1,2,8.89E-01,2.95E-01
2.70E-01,1,3,1.46E+04,2.00E+02
2.70E-01,1,4,-8.31E+00,-3.04E+00
2.70E-01,1,5,6.24E+06,1.84E+06
2.70E-01,1,6,-4.76E+01,-3.25E+01
2.70E-01,2,1,8.38E-01,1.92E-02
2.70E-01,2,2,3.30E+05,3.14E+04
2.70E-01,2,3,2.23E+00,-1.79E-01
2.70E-01,2,4,2.05E+05,-3.04E+04
2.70E-01,2,5,2.12E+02,-4.66E-01
2.70E-01,2,6,3.55E+06,3.52E+05
2.70E-01,3,1,1.45E+04,2.27E+02
2.70E-01,3,2,-2.99E-01,5.11E-01
2.70E-01,3,3,5.60E+05,3.66E+05
2.70E-01,3,4,1.10E+01,1.54E+00
2.70E-01,3,5,-8.92E+05,7.25E+05
2.70E-01,3,6,-8.16E+01,-3.20E+02
2.70E-01,4,1,-3.45E+00,7.39E-01
2.70E-01,4,2,2.40E+05,-2.34E+04
2.70E-01,4,3,-2.33E+00,2.04E+01
2.70E-01,4,4,2.72E+07,5.25E+04
2.70E-01,4,5,-7.58E+02,3.04E+02
2.70E-01,4,6,3.78E+07,4.96E+04
2.70E-01,5,1,6.23E+06,1.84E+06
2.70E-01,5,2,2.39E+02,9.69E+01
2.70E-01,5,3,-8.95E+05,6.91E+05
2.70E-01,5,4,-2.18E+03,-1.05E+03
2.70E-01,5,5,3.37E+09,6.31E+08
2.70E-01,5,6,-3.00E+04,-1.22E+04
2.70E-01,6,1,-6.42E+00,1.72E+01
2.70E-01,6,2,3.55E+06,3.58E+05
2.70E-01,6,3,-1.88E+02,9.86E+01
2.70E-01,6,4,3.77E+07,-3.63E+04
2.70E-01,6,5,-1.81E+04,5.86E+03
2.70E-01,6,6,1.61E+09,1.74E+07
3.00E-01,1,1,2.32E+04,7.71E+03
3.00E-01,1,2,8.41E-01,4.08E-01
3.00E-01,1,3,1.51E+04,1.28E+03
3.00E-01,1,4,-7.67E+00,-4.14E+00
3.00E-01,1,5,6.05E+06,2.59E+06
3.00E-01,1,6,-3.54E+01,-4.32E+01
3.00E-01,2,1,8.95E-01,4.39E-02
3.00E-01,2,2,3.49E+05,5.68E+04
3.00E-01,2,3,2.47E+00,-4.64E-02
3.00E-01,2,4,2.25E+05,-4.40E+04
3.00E-01,2,5,2.22E+02,1.58E+00
3.00E-01,2,6,3.83E+06,6.55E+05
3.00E-01,3,1,1.50E+04,1.31E+03
3.00E-01,3,2,-4.38E-01,2.27E-01
3.00E-01,3,3,4.99E+05,3.64E+05
3.00E-01,3,4,1.15E+01,3.62E+00
3.00E-01,3,5,-9.12E+05,9.35E+05
3.00E-01,3,6,-1.32E+01,-2.86E+02
3.00E-01,4,1,-3.71E+00,1.14E+00
3.00E-01,4,2,2.64E+05,-3.18E+04
3.00E-01,4,3,-6.74E+00,1.99E+01
3.00E-01,4,4,2.72E+07,7.62E+04
3.00E-01,4,5,-8.36E+02,4.48E+02
3.00E-01,4,6,3.99E+07,4.60E+05
3.00E-01,5,1,6.04E+06,2.58E+06
3.00E-01,5,2,2.17E+02,1.30E+02
3.00E-01,5,3,-9.13E+05,9.08E+05
3.00E-01,5,4,-1.95E+03,-1.44E+03
3.00E-01,5,5,3.30E+09,8.79E+08
3.00E-01,5,6,-2.69E+04,-1.64E+04
3.00E-01,6,1,-8.09E+00,2.65E+01
3.00E-01,6,2,3.84E+06,6.65E+05
3.00E-01,6,3,-2.18E+02,9.83E+01
3.00E-01,6,4,3.98E+07,3.14E+05
3.00E-01,6,5,-2.02E+04,8.66E+03
3.00E-01,6,6,1.70E+09,4.32E+07
3.30E-01,1,1,2.21E+04,9.86E+03
3.30E-01,1,2,7.50E-01,4.85E-01
3.30E-01,1,3,1.53E+04,2.68E+03
3.30E-01,1,4,-6.55E+00,-4.85E+00
3.30E-01,1,5,5.59E+06,3.26E+06
3.30E-01,1,6,-1.64E+01,-4.73E+01
3.30E-01,2,1,9.56E-01,9.10E-02
3.30E-01,2,2,3.62E+05,9.37E+04
3.30E-01,2,3,2.67E+00,2.06E-01
3.30E-01,2,4,2.59E+05,-5.26E+04
3.30E-01,2,5,2.32E+02,6.32E+00
3.30E-01,2,6,4.08E+06,1.12E+06
3.30E-01,3,1,1.52E+04,2.71E+03
3.30E-01,3,2,-4.14E-01,-9.33E-02
3.30E-01,3,3,4.43E+05,3.49E+05
3.30E-01,3,4,1.10E+01,5.99E+00
3.30E-01,3,5,-9.79E+05,1.13E+06
3.30E-01,3,6,3.48E+01,-2.30E+02
3.30E-01,4,1,-4.22E+00,1.49E+00
3.30E-01,4,2,3.00E+05,-3.27E+04
3.30E-01,4,3,-1.07E+01,1.81E+01
3.30E-01,4,4,2.74E+07,1.09E+05
3.30E-01,4,5,-9.86E+02,5.90E+02
3.30E-01,4,6,4.27E+07,1.57E+06
3.30E-01,5,1,5.59E+06,3.25E+06
3.30E-01,5,2,1.80E+02,1.51E+02
3.30E-01,5,3,-9.80E+05,1.11E+06
3.30E-01,5,4,-1.54E+03,-1.72E+03
3.30E-01,5,5,3.16E+09,1.10E+09
3.30E-01,5,6,-2.18E+04,-1.91E+04
3.30E-01,6,1,-1.42E+01,3.58E+01
3.30E-01,6,2,4.09E+06,1.13E+06
3.30E-01,6,3,-2.50E+02,8.86E+01
3.30E-01,6,4,4.26E+07,1.34E+06
